gene	chromosome	posStart	posEnd	exonRank	medianDepth
RB1	13	48878049	48878195	1	48
RB1	13	48881406	48881552	2	39
RB1	13	48916725	48916860	3	39
RB1	13	48919206	48919345	4	36
RB1	13	48921951	48922009	5	33
RB1	13	48923082	48923169	6	35
RB1	13	48934143	48934273	7	32
RB1	13	48936941	48937103	8	30
RB1	13	48939020	48939117	9	35
RB1	13	48941620	48941749	10	32
RB1	13	48942653	48942750	11	45
RB1	13	48947531	48947638	12	41
RB1	13	48951044	48951180	13	34
RB1	13	48953720	48953796	14	32
RB1	13	48954179	48954230	15	28
RB1	13	48954291	48954387	16	36
RB1	13	48955373	48955589	17	33
RB1	13	49027119	49027257	18	34
RB1	13	49030330	49030495	19	31
RB1	13	49033814	49033979	20	26
RB1	13	49037857	49037981	21	36
RB1	13	49039124	49039257	22	34
RB1	13	49039331	49039514	23	29
RB1	13	49047486	49047536	24	33
RB1	13	49050827	49050989	25	34
RB1	13	49051481	49051550	26	37
RB1	13	49054124	49054207	27	42
RPL5	1	93297672	93297684	1	48
RPL5	1	93298936	93299025	2	29
RPL5	1	93299092	93299227	3	38
RPL5	1	93300326	93300480	4	39
RPL5	1	93301737	93301959	5	28
RPL5	1	93303003	93303200	6	33
RPL5	1	93306098	93306206	7	36
RPL5	1	93307313	93307422	8	41
OR11H1	22	16448824	16449804	1	26
ARAF	X	47422367	47422472	2	15
ARAF	X	47422615	47422738	3	13
ARAF	X	47424186	47424308	4	23
ARAF	X	47424374	47424548	5	17
ARAF	X	47424641	47424759	6	12
ARAF	X	47426028	47426189	7	16
ARAF	X	47426273	47426320	8	21
ARAF	X	47426375	47426540	9	22
ARAF	X	47426619	47426841	10	16
ARAF	X	47428107	47428303	11	16
ARAF	X	47428376	47428442	12	21
ARAF	X	47428928	47429066	13	16
ARAF	X	47429282	47429433	14	19
ARAF	X	47430267	47430421	15	14
ARAF	X	47430712	47430856	16	22
SMC3	10	112327575	112327599	1	42
SMC3	10	112328686	112328781	2	34
SMC3	10	112333455	112333513	3	28
SMC3	10	112335084	112335171	4	37
SMC3	10	112337169	112337260	5	40
SMC3	10	112337583	112337682	6	47
SMC3	10	112338376	112338474	7	40
SMC3	10	112340652	112340789	8	35
SMC3	10	112341671	112341866	9	30
SMC3	10	112342310	112342410	10	43
SMC3	10	112343132	112343316	11	38
SMC3	10	112343589	112343730	12	39
SMC3	10	112343931	112344164	13	29
SMC3	10	112349353	112349476	14	38
SMC3	10	112349640	112349759	15	35
SMC3	10	112350160	112350340	16	37
SMC3	10	112350739	112350900	17	44
SMC3	10	112352821	112352991	18	49
SMC3	10	112356146	112356318	19	41
SMC3	10	112357887	112358058	20	41
SMC3	10	112359402	112359580	21	33
SMC3	10	112360187	112360314	22	34
SMC3	10	112360770	112360898	23	23
SMC3	10	112361385	112361652	24	38
SMC3	10	112361714	112361946	25	32
SMC3	10	112362222	112362433	26	35
SMC3	10	112362573	112362770	27	45
SMC3	10	112362932	112363058	28	36
SMC3	10	112363979	112364060	29	35
PREX2	8	68864630	68864780	1	44
PREX2	8	68930071	68930162	2	29
PREX2	8	68931774	68931916	3	36
PREX2	8	68934261	68934385	4	32
PREX2	8	68939447	68939568	5	33
PREX2	8	68942722	68942903	6	27
PREX2	8	68950384	68950537	7	35
PREX2	8	68956712	68956835	8	31
PREX2	8	68965322	68965491	9	40
PREX2	8	68968055	68968219	10	27
PREX2	8	68972904	68973024	11	28
PREX2	8	68981258	68981381	12	29
PREX2	8	68982060	68982129	13	26
PREX2	8	68984720	68984815	14	41
PREX2	8	68989622	68989714	15	25
PREX2	8	68992668	68992830	16	29
PREX2	8	68992971	68993083	17	33
PREX2	8	68995465	68995633	18	35
PREX2	8	68999949	69000054	19	58
PREX2	8	69002804	69002960	20	33
PREX2	8	69005830	69005967	21	27
PREX2	8	69009242	69009446	22	27
PREX2	8	69011907	69012088	23	35
PREX2	8	69020334	69020576	24	37
PREX2	8	69021641	69021868	25	42
PREX2	8	69027978	69028177	26	31
PREX2	8	69030775	69030889	27	29
PREX2	8	69031657	69031759	28	19
PREX2	8	69032421	69032531	29	33
PREX2	8	69033146	69033294	30	37
PREX2	8	69039603	69039664	31	20
PREX2	8	69046284	69046521	32	26
PREX2	8	69050640	69050762	33	35
PREX2	8	69058434	69058597	34	32
PREX2	8	69069547	69069681	35	25
PREX2	8	69103947	69104033	36	32
PREX2	8	69104560	69104770	37	34
PREX2	8	69129841	69129963	38	35
PREX2	8	69136784	69136871	39	32
PREX2	8	69143558	69143613	40	31
CYP2D6	22	42522576	42522764	9	31
CYP2D6	22	42522843	42523004	8	40
CYP2D6	22	42523439	42523646	7	63
CYP2D6	22	42523834	42523995	6	47
CYP2D6	22	42524166	42524362	5	34
CYP2D6	22	42524776	42524956	4	39
CYP2D6	22	42525025	42525197	3	48
CYP2D6	22	42525730	42525921	2	45
CYP2D6	22	42526604	42526793	1	46
ZMIZ1	10	80961390	80961459	5	0
ZMIZ1	10	80968083	80968216	6	0
ZMIZ1	10	80975916	80976041	7	0
ZMIZ1	10	81036928	81037092	8	0
ZMIZ1	10	81049522	81049656	9	0
ZMIZ1	10	81050706	81050943	10	0
ZMIZ1	10	81051905	81052123	11	0
ZMIZ1	10	81053128	81053420	12	0
ZMIZ1	10	81056218	81056420	13	0
ZMIZ1	10	81057360	81057457	14	0
ZMIZ1	10	81058153	81058347	15	0
ZMIZ1	10	81058797	81058958	16	0
ZMIZ1	10	81060479	81060709	17	0
ZMIZ1	10	81061854	81061979	18	0
ZMIZ1	10	81063762	81063942	19	0
ZMIZ1	10	81064911	81064998	20	0
ZMIZ1	10	81065280	81065368	21	0
ZMIZ1	10	81065847	81066111	22	0
ZMIZ1	10	81067152	81067338	23	0
ZMIZ1	10	81070671	81070951	24	0
ZMIZ1	10	81072389	81072506	25	0
MYC	8	128748840	128748879	1	0
MYC	8	128750484	128751275	2	0
MYC	8	128752632	128753204	3	0
AKT1	14	105236678	105236767	13	28
AKT1	14	105237072	105237194	12	37
AKT1	14	105238692	105238799	11	53
AKT1	14	105239205	105239439	10	38
AKT1	14	105239578	105239726	9	43
AKT1	14	105239782	105239927	8	48
AKT1	14	105240239	105240327	7	40
AKT1	14	105241265	105241350	6	32
AKT1	14	105241403	105241554	5	42
AKT1	14	105241979	105242146	4	38
AKT1	14	105242986	105243117	3	42
AKT1	14	105246415	105246563	2	43
AKT1	14	105258925	105258980	1	46
PRKACA	19	14203924	14204059	10	37
PRKACA	19	14204430	14204614	9	36
PRKACA	19	14208163	14208305	8	39
PRKACA	19	14208381	14208496	7	26
PRKACA	19	14208566	14208712	6	39
PRKACA	19	14211628	14211730	5	33
PRKACA	19	14213618	14213736	4	42
PRKACA	19	14217562	14217710	3	41
PRKACA	19	14218150	14218231	2	54
PRKACA	19	14228304	14228359	1	44
RNF111	15	59323022	59323911	2	0
RNF111	15	59344494	59344640	3	0
RNF111	15	59347871	59348054	4	0
RNF111	15	59350545	59350759	5	0
RNF111	15	59358953	59359292	6	0
RNF111	15	59368143	59368424	7	0
RNF111	15	59373125	59373493	8	0
RNF111	15	59376291	59376463	9	0
RNF111	15	59377848	59377994	10	0
RNF111	15	59381856	59381968	11	0
RNF111	15	59383248	59383363	12	0
RNF111	15	59384726	59384849	13	0
RNF111	15	59386972	59387099	14	0
DAXX	6	33286520	33286589	8	30
DAXX	6	33286764	33287006	7	35
DAXX	6	33287147	33287641	6	35
DAXX	6	33287778	33288011	5	40
DAXX	6	33288147	33288378	4	37
DAXX	6	33288503	33289354	3	32
DAXX	6	33289486	33289702	2	34
RPL22	1	6246732	6246886	4	33
RPL22	1	6252980	6253124	3	30
RPL22	1	6257702	6257826	2	38
RPL22	1	6259612	6259633	1	54
DICER1	14	95556835	95557010	29	32
DICER1	14	95557361	95557456	28	35
DICER1	14	95557530	95557712	27	28
DICER1	14	95560215	95560503	26	29
DICER1	14	95562152	95563060	25	28
DICER1	14	95566107	95566282	24	39
DICER1	14	95569673	95570473	23	30
DICER1	14	95571398	95571593	22	36
DICER1	14	95572005	95572130	21	33
DICER1	14	95572368	95572570	20	37
DICER1	14	95573935	95574108	19	30
DICER1	14	95574207	95574440	18	22
DICER1	14	95574651	95574850	17	28
DICER1	14	95577644	95577803	16	40
DICER1	14	95578499	95578594	15	29
DICER1	14	95579419	95579571	14	32
DICER1	14	95581994	95582168	13	36
DICER1	14	95582780	95583042	12	30
DICER1	14	95583949	95584101	11	33
DICER1	14	95590523	95591015	10	35
DICER1	14	95592907	95593095	9	27
DICER1	14	95595799	95595979	8	28
DICER1	14	95596385	95596539	7	34
DICER1	14	95597836	95597986	6	33
DICER1	14	95598842	95599024	5	26
DICER1	14	95599642	95599795	4	37
PDYN	20	1960969	1961614	4	34
PDYN	20	1963592	1963730	3	29
EML4	2	42396752	42396786	1	40
EML4	2	42472635	42472837	2	34
EML4	2	42483631	42483780	3	23
EML4	2	42488251	42488444	4	27
EML4	2	42490308	42490456	5	33
EML4	2	42491836	42491881	6	25
EML4	2	42507980	42508123	7	34
EML4	2	42509953	42510122	8	28
EML4	2	42511764	42511853	9	41
EML4	2	42513399	42513529	10	27
EML4	2	42515357	42515472	11	43
EML4	2	42522255	42522409	12	40
EML4	2	42522511	42522666	13	28
EML4	2	42528371	42528542	14	28
EML4	2	42530234	42530379	15	28
EML4	2	42530445	42530596	16	35
EML4	2	42531614	42531701	17	32
EML4	2	42543092	42543200	18	46
EML4	2	42544557	42544674	19	38
EML4	2	42552597	42552704	20	32
EML4	2	42553284	42553402	21	34
EML4	2	42556016	42556166	22	38
EML4	2	42556864	42557347	23	35
AR	X	66764989	66766614	1	18
AR	X	66863088	66863259	2	14
AR	X	66905842	66905978	3	15
AR	X	66931234	66931541	4	10
AR	X	66937310	66937474	5	18
AR	X	66941665	66941815	6	14
AR	X	66942659	66942836	7	14
AR	X	66943518	66943683	8	15
PRKAR1A	17	66511541	66511727	2	29
PRKAR1A	17	66518887	66519077	3	31
PRKAR1A	17	66519856	66519967	4	43
PRKAR1A	17	66520147	66520228	5	27
PRKAR1A	17	66521043	66521109	6	37
PRKAR1A	17	66521885	66522063	7	27
PRKAR1A	17	66523971	66524051	8	33
PRKAR1A	17	66525001	66525142	9	32
PRKAR1A	17	66526051	66526152	10	34
PRKAR1A	17	66526408	66526590	11	35
PARD3	10	34400097	34400500	25	0
PARD3	10	34408531	34408678	24	0
PARD3	10	34420381	34420521	23	0
PARD3	10	34558575	34558837	22	0
PARD3	10	34573053	34573183	21	0
PARD3	10	34606025	34606276	20	0
PARD3	10	34620035	34620282	19	0
PARD3	10	34625117	34625181	18	0
PARD3	10	34626193	34626364	17	0
PARD3	10	34630545	34630754	16	0
PARD3	10	34636874	34637053	15	0
PARD3	10	34648065	34648255	14	0
PARD3	10	34648989	34649197	13	0
PARD3	10	34661416	34661474	12	0
