chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAlleleCopyNumber	minorAlleleCopyNumberDeviation	observedTumorRatio	observedNormalRatio	unnormalisedObservedNormalRatio	majorAlleleCopyNumber	majorAlleleCopyNumberDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	eventPenalty	minStart	maxStart
1	1	729000	UNKNOWN	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	TELOMERE	0	1.0000	0.0000	1.8000	1	1
1	729001	755000	UNKNOWN	8	0.7192	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	1.1508	0.0000	0.0000	0.0000	0.0000	true	NONE	0	1.0000	0.0000	1.8000	729001	729001
1	755001	762000	DIPLOID	3	0.7432	0.7144	0.9316	0.9001	1.0358	1.0214	2.0867	0.4198	1.0043	2.8011	0.0000	0.0000	2.8004	true	NONE	4	0.7450	0.5390	1.5489	1	755001
1	762001	813000	DIPLOID	23	0.6939	0.8460	0.6742	0.8923	1.0785	1.0636	1.9306	0.3420	0.7052	2.7766	0.0000	0.0000	2.7750	true	NONE	3	0.6953	0.5873	1.4338	762001	762001
1	813001	823000	NOISE	0	0.0000	4.1167	0.5436	2.6333	2.6042	2.5684	4.1167	0.5436	0.0000	8.2335	0.0000	0.0000	8.2011	true	NONE	4	0.5000	0.4217	3.0934	813001	816001
1	823001	826000	NOISE	0	0.0000	13.0405	0.2041	4.1669	4.1554	4.0982	0.0000	1.5000	0.0000	13.0405	0.0000	0.0000	12.9768	true	NONE	3	0.0000	0.4410	6.2162	823001	823001
1	826001	1950000	DIPLOID	394	0.7111	0.7877	0.8245	0.8810	1.0044	0.9908	1.9535	0.2331	0.7521	2.7412	0.0000	0.0000	2.7411	true	NONE	516	0.7127	0.5769	1.4663	813001	835001
1	1950001	3642000	DIPLOID	821	0.7117	0.8194	0.7507	0.9180	1.0064	0.9947	2.0377	0.1903	0.6697	2.8572	0.0000	0.0000	2.8570	true	NONE	853	0.7132	0.5825	1.4873	1950001	1952001
1	3642001	3643000	HET_DELETION	0	0.0000	1.2571	0.8991	0.4075	0.3680	0.3646	0.0000	1.5000	0.0000	1.2571	0.0000	0.0000	1.2698	true	NONE	1	0.0000	0.5370	1.5028	3642001	3642001
1	3643001	5726000	DIPLOID	1690	0.7130	0.7956	0.8077	0.8957	0.9791	0.9727	1.9916	0.1000	0.6472	2.7873	0.0000	0.0000	2.7877	true	NONE	1817	0.7145	0.4764	1.4784	3642001	3643001
